timestamp,nh_ch4_ems,sh_ch4_ems,nh_ch4c13_ems,sh_ch4c13_ems,nh_mcf_ems,sh_mcf_ems,nh_n2o_ems,sh_n2o_ems,nh_c2h6_ems,sh_c2h6_ems,nh_oh_ems,sh_oh_ems,nh_co_ems,sh_co_ems,tau_ems,kx_nh_ems,kx_sh_ems,nh_ch4_obs,sh_ch4_obs,nh_ch4_err_obs,sh_ch4_err_obs,nh_ch4c13_obs,sh_ch4c13_obs,nh_ch4c13_err_obs,sh_ch4c13_err_obs,nh_mcf_obs,sh_mcf_obs,nh_mcf_err_obs,sh_mcf_err_obs,nh_n2o_obs,sh_n2o_obs,nh_n2o_err_obs,sh_n2o_err_obs,nh_c2h6_obs,sh_c2h6_obs,nh_c2h6_err_obs,sh_c2h6_err_obs,nh_co_obs,sh_co_obs,nh_co_err_obs,sh_co_err_obs,nh_ch4_model,sh_ch4_model,nh_ch4c13_model,sh_ch4c13_model,nh_mcf_model,sh_mcf_model,nh_n2o_model,sh_n2o_model,nh_c2h6_model,sh_c2h6_model,nh_oh_model,sh_oh_model,nh_co_model,sh_co_model,nh_ch4_strat_model,sh_ch4_strat_model,nh_ch4c13_strat_model,sh_ch4c13_strat_model,nh_mcf_strat_model,sh_mcf_strat_model,nh_n2o_strat_model,sh_n2o_strat_model,nh_c2h6_strat_model,sh_c2h6_strat_model,nh_oh_strat_model,sh_oh_strat_model,nh_co_strat_model,sh_co_strat_model
1984,380.685395497901,155.901849786367,-51.1591209016511,-50.7141253849519,582.968286682889,-2.44978067130234e-05,7.48501834615468,2.06482676164613,10399.9996040863,2599.99969781663,2970.50691125959,3425.01250821752,909.769919501398,66.2898302079669,9999.99999999989,0.99,1.23,1698.32536884236,1595.29711670599,13.9305668624133,14.1148320736771,NaN,NaN,NaN,NaN,117.85,86.768,10,2.434,303.857977380952,304.015702380952,1.113,2.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1697.98732941066,1595.28934469978,-88.4169239385204,-65.1434563711345,106.924738146654,86.1207785437333,303.838082320689,303.853480956221,1200,200,999999.999839699,1000000.00136864,95.0032651661507,67.0236699402207,1399.85715719544,1399.80233971912,-47.2655791568559,-47.0297859372072,30.04172053211,19.9778953939479,301.421825389747,298.55853466423,300,100,1000000,1000000,69.9994566520351,49.9962802917334
1985,354.97326047731,150.619973120524,-50.4189641122214,-50.4126630776712,591.947186209586,-2.14108163925694e-05,5.37394964400528,0.118023968549966,10399.9916439909,2599.99996672769,2120.05892969497,3500.26074229214,932.546125141651,67.1404849130963,9999.99999999994,0.99,1.23,1707.61649133628,1607.95943784046,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,123.275,89.619,10,2.434,305.449960119048,305.400654761905,1.046,2.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1708.13082700059,1606.4615828234,-74.9704517402907,-72.9242990885158,115.689364024871,90.3220568789351,305.093915872621,304.511888700273,831.714722761213,242.425949506314,654714.745782499,1139687.31833783,124.689583780515,64.1190277745335,1399.85715719544,1399.80233971912,-47.2655791568559,-47.0297859372072,30.04172053211,19.9778953939479,301.421825389747,298.55853466423,300,100,1000000,1000000,69.9994566520351,49.9962802917334
1986,416.35540184938,157.606207111282,-49.9776972981236,-50.3005183365091,600.819235111049,-3.07700504648389e-05,4.11271090552701,-0.0388288950998186,10400.0033068002,2600.00158434241,3037.57157816769,3775.49278530741,898.296376177087,64.3054213295882,9999.99999999882,0.99,1.23,1723.19114561456,1613.9638976209,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,122.0640625,95.9693333333334,10,2.434,305.53845550402,304.758869444444,0.791,4.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1723.05197452049,1615.55753785613,-70.7147766736109,-71.2526285331799,121.211878504004,95.3324834091043,305.698022904133,305.121360169632,673.475329205231,215.688499327545,978155.695227912,1234792.65090003,110.018949606708,62.5575458990563,1399.85715719544,1399.80233971912,-47.2655791568559,-47.0297859372072,30.04172053211,19.9778953939479,301.421825389747,298.55853466423,300,100,1000000,1000000,69.9994566520351,49.9962802917334
1987,367.462773370973,233.880036465757,-49.9585248819378,-49.8394291081079,621.742083305612,-9.75289762541093e-05,5.40194736593471,0.230698165821787,10400.2752984094,2600.17325593861,2276.47095225984,4334.58687675756,929.08870813901,64.4680446113625,9999.9999999987,0.99,1.23,1733.02723425204,1630.70690139174,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,133.91,96.3488717948718,10,2.434,306.543921402803,305.558131944445,1.576,4.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1733.60253675901,1628.25227066864,-67.8119666654062,-68.2828590868776,125.880838180427,97.4935306175552,306.329259987135,305.72148171524,781.923732552684,197.829168067647,708650.754681089,1415703.21783713,121.602065982437,62.5534201525232,1399.85715719544,1399.80233971912,-47.2655791568559,-47.0297859372072,30.04172053211,19.9778953939479,301.421825389747,298.55853466423,300,100,1000000,1000000,69.9994566520351,49.9962802917334
1988,407.534336781537,113.387739305821,-49.5381225183572,-50.3469872150325,663.811478230059,1.3903390240367e-05,5.37391395090673,0.550211307268699,10400.0005404337,2600.00270749338,2896.06654843062,3190.34170952732,900.993126047129,67.0465016189989,9999.99999999964,0.99,1.23,1747.58368242783,1640.85184251597,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,132.749079166667,103.074025641026,10,2.434,306.887300379737,306.430339583333,1.313,1.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1747.51268681997,1640.90276897107,-65.2535257158811,-65.8919453875871,131.037711861656,103.014402772296,307.071131742945,306.44571416922,697.568545220725,240.600434074963,923263.355870283,1035061.14634747,113.137817507736,64.9413652997078,1399.85715719544,1399.80233971912,-47.2655791568559,-47.0297859372072,30.04172053211,19.9778953939479,301.421825389747,298.55853466423,300,100,1000000,1000000,69.9994566520351,49.9962802917334
1989,453.528803298975,191.302861377904,-48.8493574669028,-49.8075266915722,688.132316527912,-4.00627441095535e-05,6.46470883632686,0.530879386045092,10399.9946479353,2599.32916070064,3494.54305648413,3530.77280883844,845.657829743289,56.9457704602352,9999.99999999853,0.99,1.23,1750.91055354914,1655.5042347297,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,135.2670875,108.23758974359,10,2.434,307.941820011554,307.107466666667,0.79,1.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1751.16485090537,1656.73964442127,-62.8633899739127,-63.6109946314622,134.26321180693,107.934668126206,307.927603974088,307.232767155729,565.247933558944,212.861962078538,1160170.78746164,1151170.81424451,99.966682185128,62.8419898131748,1399.85715719544,1399.80233971912,-47.2655791568559,-47.0297859372072,30.04172053211,19.9778953939479,301.421825389747,298.55853466423,300,100,1000000,1000000,69.9994566520351,49.9962802917334
1990,418.638801944868,191.837264714784,-48.3693795835839,-49.3605229742317,715.253602425238,-5.39052954615375e-05,6.84143377808698,0.48933695599126,10399.9979546018,2601.13518592737,2769.68060631005,4148.44460238531,714.039009042553,13.4036465740614,9999.99999999904,0.99,1.23,1764.78485504306,1664.33893250292,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,139.11324,108.529,10,2.434,309.001615430403,307.868931818182,1.22,1.474,NaN,NaN,NaN,NaN,99.71,59.53,7.13020508887192,4.60382346887284,1764.56824161365,1662.02307826742,-60.6918858658853,-61.2465668706839,138.6343517587,109.218050913657,308.876991451303,308.100809558152,645.185282440754,190.241888232067,919746.999851639,1363026.12610762,99.8931030088803,60.1071095287124,1399.85715719544,1399.80233971912,-47.2655791568559,-47.0297859372072,30.04172053211,19.9778953939479,301.421825389747,298.55853466423,300,100,1000000,1000000,69.9994566520351,49.9962802917334
1991,417.115525851444,151.587433280436,-48.149250057588,-49.5758073543928,634.697584820443,-3.71670225211315e-05,5.79922946896182,-0.400379468445252,10401.0624159314,2601.99922245295,2748.06998096154,3150.15241030312,696.713964777131,176.777494860069,9999.99999999876,0.99,1.23,1777.74382627544,1673.69094442952,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,142.498857142857,113.709435897436,4.662,2.434,309.966688637421,309.035242361111,1.185,1.436,NaN,NaN,NaN,NaN,100.57,69.96,7.13020508887192,4.60382346887284,1777.97749858448,1675.46300233409,-58.82011232493,-59.3312629208367,141.304995928366,113.500621026576,309.69215495195,308.900160630552,679.364154746379,240.257130884817,907602.812445539,1007124.76064791,101.104082144867,69.1220490656331,1399.85715719544,1399.80233971912,-47.2655791568559,-47.0297859372072,30.04172053211,19.9778953939479,301.421825389747,298.55853466423,300,100,1000000,1000000,69.9994566520351,49.9962802917334
1992,324.900590966013,170.343347225982,-48.2748935943059,-49.5192636441172,594.626956444419,-3.26696581494795e-05,4.50742844079452,-1.03158801418894,10402.6211623406,2601.85977592352,1770.69433265966,3943.70393126792,743.272775916816,9.58102594971197,9999.99999999947,0.99,1.23,1794.59707319201,1688.29344625669,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,145.101606601732,115.939706845238,2.80499885303247,1.01253848881587,310.323551967069,309.37043,0.988,0.982,NaN,NaN,NaN,NaN,119.92,63.4738068181818,7.13020508887192,4.60382346887284,1794.26106132465,1685.67278402112,-57.4209934564606,-57.7053550334663,145.226671958849,116.100760506688,310.228994087029,309.488239414792,920.898640751027,234.209736081252,552299.55364347,1279617.53383717,119.925139039818,63.6673272068425,1399.85715719544,1399.80233971912,-47.2655791568559,-47.0297859372072,30.04172053211,19.9778953939479,301.421825389747,298.55853466423,300,100,1000000,1000000,69.9994566520351,49.9962802917334
1993,308.516754475598,130.529602860873,-46.8951901926409,-49.5046251028047,386.073614268541,5.76326876295275e-06,4.05327057509829,-0.471352879831568,10402.6017213481,2602.00791793141,1969.02450766421,3095.28358738165,611.982429983646,-181.090240539898,10000.0000000003,0.99,1.23,1793.41117857324,1690.85726947188,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,142.953533333333,118.092587202381,2.19220310553408,1.08714356346931,310.475073909578,310.219819444444,1.383,1.6,NaN,NaN,NaN,NaN,111.385625,53.4930769230769,7.13020508887192,4.60382346887284,1794.35991941508,1690.70869275494,-56.1938212328348,-56.4177879663574,142.322363130693,118.092248231829,310.62470862914,309.989090054867,947.813461249915,279.412086437168,629929.544642091,1033057.07598074,111.316271068471,55.0142295470698,1399.85715719544,1399.80233971912,-47.2655791568559,-47.0297859372072,30.04172053211,19.9778953939479,301.421825389747,298.55853466423,300,100,1000000,1000000,69.9994566520351,49.9962802917334
