timestamp,nh_ch4_ems,sh_ch4_ems,nh_ch4c13_ems,sh_ch4c13_ems,nh_mcf_ems,sh_mcf_ems,nh_n2o_ems,sh_n2o_ems,nh_c2h6_ems,sh_c2h6_ems,nh_oh_ems,sh_oh_ems,nh_co_ems,sh_co_ems,tau_ems,kx_nh_ems,kx_sh_ems,nh_ch4_obs,sh_ch4_obs,nh_ch4_err_obs,sh_ch4_err_obs,nh_ch4c13_obs,sh_ch4c13_obs,nh_ch4c13_err_obs,sh_ch4c13_err_obs,nh_mcf_obs,sh_mcf_obs,nh_mcf_err_obs,sh_mcf_err_obs,nh_n2o_obs,sh_n2o_obs,nh_n2o_err_obs,sh_n2o_err_obs,nh_c2h6_obs,sh_c2h6_obs,nh_c2h6_err_obs,sh_c2h6_err_obs,nh_co_obs,sh_co_obs,nh_co_err_obs,sh_co_err_obs,nh_ch4_model,sh_ch4_model,nh_ch4c13_model,sh_ch4c13_model,nh_mcf_model,sh_mcf_model,nh_n2o_model,sh_n2o_model,nh_c2h6_model,sh_c2h6_model,nh_oh_model,sh_oh_model,nh_co_model,sh_co_model,nh_ch4_strat_model,sh_ch4_strat_model,nh_ch4c13_strat_model,sh_ch4c13_strat_model,nh_mcf_strat_model,sh_mcf_strat_model,nh_n2o_strat_model,sh_n2o_strat_model,nh_c2h6_strat_model,sh_c2h6_strat_model,nh_oh_strat_model,sh_oh_strat_model,nh_co_strat_model,sh_co_strat_model
1984,373.509760479728,133.802206815128,-51.0499473417553,-50.7274448493124,583.06152143241,7.40454010639338e-06,8.03650958892711,2.70308252517707,10411.0827203939,2611.09787145977,2579.47206624258,3118.14631413782,946.976847237154,70.6994962948953,22.8581909065178,0.99,1.23,1698.32536884236,1595.29711670599,13.9305668624133,14.1148320736771,NaN,NaN,NaN,NaN,117.85,86.768,10,2.434,303.857977380952,304.015702380952,1.113,2.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1697.89474389292,1595.20418186997,-84.8056047591534,-61.1479563085112,106.788255486102,86.1601105542412,303.949075599852,304.221387318879,1200,200,1000000.00027381,999999.999653416,95.1853995347887,67.0047784652435,1385.80243377671,1392.2384457449,-33.8532020657195,-38.1326805745041,30.0641862303884,20.010044865135,293.089059476362,289.00943367241,300,100,999999.999589508,999999.999589505,70.0000628649942,49.9999851653204
1985,346.696139048693,116.930295416563,-50.1680148363651,-50.4811040684766,592.049830049919,2.71112667342396e-05,6.98646519277247,1.72844015967936,10411.0855402151,2600.01009089651,1973.17756983117,2942.36829081519,967.967745760834,71.7187341983994,22.6613987919131,0.99,1.23,1707.61649133628,1607.95943784046,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,123.275,89.619,10,2.434,305.449960119048,305.400654761905,1.046,2.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1708.18294447109,1606.44090995646,-70.7833020095497,-68.7071002747627,115.035020944657,90.2891492557739,305.095041683706,304.509746085933,908.709534821915,290.726492700679,594619.147154697,949555.260547089,133.228383161901,67.1075075780743,1488.62840701814,1463.97003838427,-50.6837178928962,-49.3812108485193,55.3757942388816,45.6778736996486,295.055646136365,292.984438307654,31.1095510888552,10.6707074786977,21968.9206627282,33575.5971353987,4.6021825089523,2.41783478797627
1986,407.081972639133,142.447722737811,-49.9035083761978,-50.3634187356418,600.892767937601,-1.27019217096751e-05,5.9059758908118,1.51228455028956,10399.9888669447,2599.99990125036,2819.79483336884,3548.98120470024,935.302448585952,68.2049429895919,22.4768544839087,0.99,1.23,1723.19114561456,1613.9638976209,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,122.0640625,95.9693333333334,10,2.434,305.53845550402,304.758869444444,0.791,4.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1723.06177663479,1615.67264808978,-66.643838910377,-67.0509392476271,120.711323925529,95.298012625533,305.692739908506,305.079298472816,731.892115798543,239.139852925067,889348.130444936,1154763.38804167,116.748831113615,64.1380808431335,1556.12010533293,1518.90964606922,-57.381428040157,-56.7087893776911,73.8617495589435,63.6912668365559,296.891984783274,295.447018508873,26.4772879882975,9.20388591953671,31096.7341531055,40408.2639494875,4.19378019714497,2.35207886893708
1987,368.821155774423,209.490344807999,-49.7558628101991,-50.1689101622832,621.761108335598,-7.59583323514604e-05,6.8010421301476,1.69088302048658,10409.0047216435,2609.01728746038,2234.20106184235,4011.30595442855,932.626226841498,65.7282816620402,22.8347165638036,0.99,1.23,1733.02723425204,1630.70690139174,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,133.91,96.3488717948718,10,2.434,306.543921402803,305.558131944445,1.576,4.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1733.63908786479,1627.94701252095,-64.033538164037,-64.4470602275083,125.295290842195,97.6103952400774,306.327713160595,305.697573372951,804.13572943757,214.634552954969,691293.706810254,1306660.92390259,123.632021387536,63.380242523984,1600.62669165187,1558.83781792428,-60.2765973795014,-60.1207440572641,86.6840893069201,76.106759401727,298.347534190832,297.119120701847,27.4050913009885,8.03388566423952,25413.7354154934,45219.2744331677,4.2678812407662,2.27906437247944
1988,400.514001219598,108.198533819094,-49.522743949237,-50.2740850743701,663.874587144024,2.20824489468199e-05,6.77973681844844,1.93134665269849,10400.2694360582,2590.79754628176,2719.98960673368,3064.22329202774,908.536636622194,67.6374559230702,23.0975406325226,0.99,1.23,1747.58368242783,1640.85184251597,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,132.749079166667,103.074025641026,10,2.434,306.887300379737,306.430339583333,1.313,1.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1747.53364572036,1640.92304892622,-61.9057154113651,-62.4233037934483,130.63000908573,103.015147462304,307.07473975066,306.436767105597,733.665197724357,253.508771640697,859102.086557858,992228.760249827,116.233054796412,65.5381279030443,1633.09729093521,1590.15624363353,-61.2360550485791,-61.2828796244209,96.2510667542541,85.1407681214123,299.524902235959,298.359829747606,25.5195849254084,9.12816669414067,29594.7956972404,35263.9374685949,4.04237060848445,2.32221221091382
1989,442.166568064097,179.880002983988,-49.1343635517888,-50.0569173635431,688.202856046283,-2.9745236834456e-05,7.66426354472014,1.92325216166708,10408.6736382157,2609.00110759721,3355.30613900953,3396.46872983166,847.544058272214,56.7378506758801,22.5259280549726,0.99,1.23,1750.91055354914,1655.5042347297,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,135.2670875,108.23758974359,10,2.434,307.941820011554,307.107466666667,0.79,1.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1751.19372760338,1656.793900364,-60.0086478695103,-60.5868570858273,134.161793080785,107.932906760861,307.92976641573,307.23708374184,588.755621204808,223.205463758243,1107941.131484,1106452.26553069,101.594543631334,63.1299025420083,1656.98948576372,1614.82792698358,-61.131934620602,-61.3135211077714,103.912389608778,92.9466795541488,300.592944259928,299.443760270598,21.0257098766088,8.3751102589545,38762.0925667526,39043.9053935814,3.62171582933336,2.28823127569152
1990,420.239850023778,186.049434417599,-48.6156021314813,-49.7089705194361,715.285876462063,-4.64966562935981e-05,7.96137635457026,1.83347843664915,10408.4397378443,2527.87926265389,2689.14051275866,4040.38175442324,702.603613163503,17.6799481559504,22.1273735600708,0.99,1.23,1764.78485504306,1664.33893250292,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,139.11324,108.529,10,2.434,309.001615430403,307.868931818182,1.22,1.474,NaN,NaN,NaN,NaN,99.71,59.53,7.13020508887192,4.60382346887284,1764.56496742126,1661.7618379619,-58.3065006239989,-58.7404300165176,138.459164952656,109.3116084885,308.859211975591,308.098750165834,659.093047149854,192.980254780322,892873.361199146,1326943.22219705,99.9454508756355,60.2108663064696,1676.01752692338,1635.12616642584,-60.4031778514145,-60.623688213387,110.073161155948,98.851151731502,301.651340960665,300.488083431639,23.166298171755,7.42501133122283,33304.5379345973,47167.5530299212,3.58861990087831,2.22290244788895
1991,408.584420233893,148.363596072388,-48.6057356576085,-49.7677592151155,634.771806370626,-3.14472867179353e-05,7.00209610632329,0.994109881731574,10405.4430464287,2608.44385872479,2618.79578061539,3103.87320006427,679.822143420587,177.41236740728,21.7867691856473,0.99,1.23,1777.74382627544,1673.69094442952,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,142.498857142857,113.709435897436,4.662,2.434,309.966688637421,309.035242361111,1.185,1.436,NaN,NaN,NaN,NaN,100.57,69.96,7.13020508887192,4.60382346887284,1778.04032053264,1675.63806819436,-56.8715740692383,-57.2574671731835,141.113778043683,113.433645334625,309.663432901098,308.888043269471,700.823060480245,244.686635750605,864750.272681104,992625.942335174,101.146353215429,69.0242551663209,1693.61491688051,1650.38983302064,-59.3524934370546,-59.5633853211852,115.354575799808,103.561655496155,302.680270347011,301.501480101172,25.304534914037,9.18855535339984,32072.1878719725,37347.8013234046,3.68738745452077,2.53213415447599
1992,319.342976539673,163.126179698286,-48.3722754402595,-49.9045184592916,594.702114105627,-2.27510330699732e-05,5.74556955122326,0.299571745038082,10402.4605894637,2603.9756801623,1623.22002363931,3834.75007170309,714.752898873742,10.609322035177,22.6421515607239,0.99,1.23,1794.59707319201,1688.29344625669,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,145.101606601732,115.939706845238,2.80499885303247,1.01253848881587,310.323551967069,309.37043,0.988,0.982,NaN,NaN,NaN,NaN,119.92,63.4738068181818,7.13020508887192,4.60382346887284,1794.26871615813,1685.54265642141,-55.8187297012317,-56.0252299655264,145.197885433101,116.13253274244,310.216713232772,309.483902941791,964.741342811529,243.616946078025,506130.056752158,1244312.46195684,120.122552702126,63.6640884205604,1709.56435956201,1666.18592141319,-58.2411249592323,-58.4230909480926,119.455711721211,107.873605506311,303.537359058275,302.354862606244,32.6893307557809,9.22362051138385,19552.4544114543,43041.3928572689,4.15584118335545,2.32803847664067
1993,305.5890883068,130.24763328133,-46.8945728135914,-49.6691161512229,386.095673540118,3.52658732594113e-05,5.25734591597001,0.643995648981463,10407.061694549,2608.4387753664,1899.77083518388,3097.77535141492,605.907847783562,-172.979854115417,22.681383875744,0.99,1.23,1793.41117857324,1690.85726947188,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,142.953533333333,118.092587202381,2.19220310553408,1.08714356346931,310.475073909578,310.219819444444,1.383,1.6,NaN,NaN,NaN,NaN,111.385625,53.4930769230769,7.13020508887192,4.60382346887284,1794.3624007902,1690.64233453714,-54.8561904409693,-55.0322099549749,142.286903499865,118.098226064182,310.634065355894,309.9872530054,975.218417865275,283.737239234223,607481.442566961,1033615.29507638,111.498839522847,55.1494111619885,1722.28539552172,1677.90797679577,-57.1908368837081,-57.3227716152945,122.506589202202,111.215550896944,304.206328184894,303.038174411265,34.3456752473163,10.5601829103991,21562.5708659072,36809.6641259377,3.96058081324531,2.03409544696913
