Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

1987
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10  -164 -167 -144  -35  116   82   45  116  140  144  116  145
12  -300 -336 -325 -125   74   69   79  153  162  155  130  141
15  -374 -356 -331 -350  -45   60  108  145  145  139  147  106
20  -326 -307 -311 -328 -295  -11   93  124  145  133  124   86
25  -289 -280 -309 -303 -289 -152   21  112  165  128   93   58
30  -260 -266 -271 -270 -268 -247  -63   92  138  117   77   57
35  -192 -209 -219 -244 -283 -367 -179   43  131  124   86   70
40   -86 -113 -171 -236 -266 -273 -281  -14   91  113   93   78
45   -18  -21  -72 -188 -248 -293 -311  -85   48  114   82   76
50    39   32   19  -74 -192 -231 -267 -224  -62   68   83   66
60   102   87   73   51  -12 -154 -204 -213 -209  -18   49   62
70    57   61   22  -04  -02  -74 -145 -148 -133 -115  -37  -02
80    11   46  -37  -63  -15  -52 -108 -100  -90 -110  -97  -27
90   -34  -29   03  -26  -29  -63  -61 -135 -114 -139  -87  -52

1988
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10    66  -43  -89 -147 -210 -243 -245 -312 -346 -341 -180 -122
12    83  -08  -94 -186 -250 -275 -295 -329 -387 -366 -325 -277
15   101   05 -158 -215 -281 -274 -309 -372 -373 -371 -334 -335
20    89   12  -53 -150 -258 -297 -322 -327 -334 -321 -306 -306
25    60   30   39   14  -63 -204 -251 -224 -217 -231 -232 -248
30    54   46   78   70   50  -23 -102  -63  -50  -81 -101  -99
35    46   93  110   96  109   75   32   60   62   30   04   11
40    91   95  100   94  123  105   96   99   94   93  110  136
45   111  112   88   94  115  112  104  125  130  116  109  149
50    91   77   74   68   92   98  105  103  104  100  106  120
60    74   43   20   49   58   97  100   66   84   76   82   63
70    07   49   20   19   22   61   60   57   53   54   58   23
80   -65  -04   19  -38  -33   11   34   50   07   26   25  -19
90   -63  -19  -65  -70 -100  -37  -04  -20  -19  -24  -51  -07

1989
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10  -244 -348 -366 -378 -329 -128  -17   34   35   84  157  212
12  -338 -340 -374 -394 -403 -305  -87   20   19   53  121  249
15  -353 -339 -359 -353 -347 -367 -346  -91  -76   12   73  218
20  -328 -310 -303 -323 -327 -338 -363 -350 -346 -235  -95  127
25  -261 -205 -184 -286 -309 -325 -364 -324 -316 -311 -297 -147
30   -84  -40  -38 -150 -250 -281 -306 -300 -310 -307 -306 -282
35    29   60   59   10 -154 -235 -268 -281 -298 -291 -264 -285
40   118  109  124   97  -20 -172 -231 -238 -239 -250 -239 -248
45   138  126  136   98   72  -41 -132 -145 -197 -224 -219 -244
50   117  102  117  100   92  -03  -36  -58 -119 -152 -166 -184
60   120   84  101   77  119   62   66   31  -13  -37  -88  -83
70    68   37   41   67   77   58   42   36   41   03  -20   03
80    13  -03   15   33   11   18   23   31   73   30  -19   07
90   -59  -85  -02   02  -42   16  -33   59   13   11  -42  -50

1990
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10   149  157  182  154   64   48  -02  -75  -30 -133 -252 -284
12   169  180  222  159  114   93   29   19   21  -16 -157 -246
15   173  192  212  181  120  130   82  108  129  103   14 -107
20   131  146  181  166  136  172  118  134  143  139  110   25
25    64   79  177  152  160  185  158  154  134  119  110   90
30   -42  -32  109  124  124  152  131  135  130  109  110  134
35  -247 -149   31   98   98  154  123  138  127  104  134  126
40  -292 -265  -81   49   85  122   94  110  123  116  132  120
45  -279 -273 -242  -49   87  145   99  126  116   98  135  118
50  -214 -210 -221 -142   22  118   86   78   95   70  104   79
60  -102 -118  -73 -136 -105   43   60   67   77   95   95   90
70   -14  -81  -31  -81 -109  -50   12   19   32   60   76   56
80   -15  -71  -34 -102  -87 -101  -49   20   14   11   28   24
90   -44 -100 -116  -43  -92  -90  -34  -13  -13   13   02  -08

1991
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10  -283 -302 -315 -312 -305 -318 -347 -332 -292 -169   91  209
12  -257 -282 -277 -265 -272 -275 -361 -294 -298 -294   14   99
15  -159 -157 -193 -240 -260 -300 -310 -293 -278 -288 -235  -40
20    07   44   10 -182 -256 -286 -293 -287 -288 -269 -275 -268
25    83  113  103  -26 -214 -276 -270 -298 -265 -250 -242 -298
30   114  127  105   92  -67 -209 -250 -231 -215 -222 -242 -253
35   104  137  107  132   35 -164 -189 -198 -175 -204 -202 -226
40   100  106   72  101   67  -24 -100 -128 -134 -121 -148 -175
45    55   98   51   62   87   17  -78  -86  -60  -34  -50  -83
50    60  106   50   70   90   35  -21  -30  -16  -08  -12  -20
60    74  120   54   66  113   84   49   24   21   17   44   66
70    26   63   52   57   79   71   52   24   34   38   27   36
80    05   17   41   69   35   79   66  -16  -06   63   08  -35
90   -60  -08  -03   12  -18   14   57  -53  -56   35  -31  -30

1992
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10   161  170  173  161  101   42   56  143  167  175  216  169
12   104  132  147  145  114   63   92  165  170  153  189  182
15   -33  -15   03   78  110  115   90  171  176  162  194  184
20  -289 -299 -289 -250  -42   66   79  153  159  160  189  189
25  -278 -283 -282 -288 -290  -29   60  106  119  163  170  196
30  -253 -254 -260 -262 -275 -268  -79   08   75  112  141  176
35  -234 -218 -227 -252 -242 -300 -286 -110  -02   62  110  161
40  -160 -171 -183 -217 -235 -296 -306 -273  -96  -05   74  137
45   -90  -36  -65 -143 -207 -257 -276 -313 -256 -141   17  126
50   -21  -10  -09  -48 -159 -214 -243 -259 -253 -239  -90   44
60    72   94   38   45  -29 -128 -163 -156 -159 -163 -157 -103
70   -05   47  -11   26   12  -32  -76 -100  -90  -96 -112 -105
80   -55   22  -59   19   24  -04  -25  -47  -66  -38  -58  -67
90   -19  -30  -26  -76  -51  -43  -46  -55  -68  -22  -47  -50

1993
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10   145  138   68 -126 -268 -295 -308 -320 -340 -331 -329 -268
12   167  176  168  -13 -231 -303 -302 -320 -350 -336 -362 -357
15   171  214  201  124 -158 -291 -316 -316 -326 -340 -344 -327
20   178  208  190  121  -52 -226 -258 -280 -316 -301 -311 -300
25   177  190  192   80   57  -44 -187 -176 -195 -253 -260 -297
30   155  164  170  112  108   48  -10  -08  -44 -111 -205 -240
35   146  147  152  148  133  118   96   97   41   01  -78 -121
40   134  148  133  135  120  126  107   92   98   81   03  -06
45   156  153  120  107  134  107   95   99  103   97   96   63
50    74   86   78   91  118  100   86   83  103   89  103   83
60    26   32   20   83  100  109   74   98   70   73  103   92
70   -24  -23   21   55   88   95   57   43   32   71   92   67
80   -05  -34  -11   10   38   54   64   25   25   49   38   32
90   -45  -64  -23  -29   08   46   12   30   29  -14  -14   03

1994
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10  -348 -349 -351 -376 -218   57   85  115  137  157  184  185
12  -385 -338 -339 -362 -351  -56   51  111  138  151  185  196
15  -315 -313 -334 -352 -364 -262  -38   72  144  143  178  199
20  -315 -315 -319 -332 -336 -349 -293  -48   86  117  160  190
25  -332 -301 -316 -315 -326 -341 -349 -263  -57   87  143  181
30  -251 -265 -291 -298 -318 -328 -338 -336 -271  -09  109  167
35  -174 -165 -190 -257 -295 -310 -326 -333 -316 -128   56  124
40   -30  -21  -76 -166 -256 -282 -303 -314 -310 -236  -32   51
45    43   27   12  -62 -181 -246 -274 -293 -296 -287 -148  -03
50    84   66   74   34  -97 -211 -248 -269 -278 -280 -243  -64
60   110   79  108   86   35 -105 -168 -185 -197 -170 -173 -141
70    51   47   92   83   86  -14  -72  -95 -120  -96 -110  -70
80    03  -08   39   39   56   07  -33  -57  -66  -95  -95  -69
90   -35  -10  -11   01  -07  -08  -51  -95  -59 -113 -119  -90

1995
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10   196  102   64  -35 -238 -285 -322 -359 -335 -308 -278 -181
12   197   92   54   49 -138 -244 -292 -313 -289 -277 -241 -227
15   183   79   63  107   36 -127 -195 -211 -209 -216 -195 -208
20   174  112  111  152  148  102   16  -28  -66 -134 -191 -232
25   186  117  114  147  163  156  106   57  -10 -111 -183 -226
30   178  115   86  110  155  151  125   72   34  -32 -131 -169
35   163   91   59   75  130  135  114   78   59   24  -29  -54
40   134   71   49   61  113  130  109   85   69   58   46   38
45    92   50   52   59  111  130  103   91   88   88   80   81
50    26   25   48   58  112  120  106   99  102  102   97   98
60   -26  -01  -03   26   90   78  115  100   92   90   75   80
70   -15  -06  -40  -25   41   35   86   87   65   68   47   58
80   -28  -14  -40  -40  -13  -20   46   72   46   43   35   32
90   -40  -36  -35  -27  -47  -86  -02   28   16   19  -17   02

1996
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10  -277 -307 -322 -311 -307  -16  -16   41   96  160  228  186
12  -273 -301 -296 -311 -345 -198 -132  -07   96  136  219  202
15  -267 -279 -286 -331 -369 -360 -318 -193   23  102  199  208
