# Data origin for merged files:  the parameter names are listed here along with the name of the originating file,
## for the example date 2017-08-08. Look at the associated icartt file header for detailed information about the parameter.
## the MER#0 merged file is obtained by block averaging +/-5 s around each UTC time stamp evenly divisible by 10.
params	data.set
UTC_Start	MMS
UTC_Stop	MMS
UTC_Mean	MMS
P	MMS
T	MMS
TAS	MMS
U	MMS
V	MMS
W	MMS
TEDR	MMS
REYN	MMS
G_LAT	MMS
G_LONG	MMS
G_ALT	MMS
POT	MMS
ROLL	MMS
HDG	MMS
PITCH	MMS
YAW	MMS
AOA	MMS
LAT_AMSSD	AMSSD_DC8_YYYYMMDD_R#.ict
LON_AMSSD	AMSSD_DC8_YYYYMMDD_R#.ict
GALT_AMSSD	AMSSD_DC8_YYYYMMDD_R#.ict
StdToVol_AMSSD	AMSSD_DC8_YYYYMMDD_R#.ict
OA_Total	AMSSD_DC8_YYYYMMDD_R#.ict
SO4_Total	AMSSD_DC8_YYYYMMDD_R#.ict
NO3_Total	AMSSD_DC8_YYYYMMDD_R#.ict
NH4_Total	AMSSD_DC8_YYYYMMDD_R#.ict
Chl_Total	AMSSD_DC8_YYYYMMDD_R#.ict
AMS_LAT	AMS_DC8_YYYYMMDD_R#.ict
AMS_LON	AMS_DC8_YYYYMMDD_R#.ict
AMS_ALT	AMS_DC8_YYYYMMDD_R#.ict
OA_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
OA_lt_1um_AMS_prec	AMS_DC8_YYYYMMDD_R#.ict
OA_lt_1um_AMS_DL	AMS_DC8_YYYYMMDD_R#.ict
Sulfate_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
Sulfate_lt_1um_AMS_prec	AMS_DC8_YYYYMMDD_R#.ict
Sulfate_lt_1um_AMS_DL	AMS_DC8_YYYYMMDD_R#.ict
Nitrate_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
Nitrate_lt_1um_AMS_prec	AMS_DC8_YYYYMMDD_R#.ict
Nitrate_lt_1um_AMS_DL	AMS_DC8_YYYYMMDD_R#.ict
Ammonium_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
Ammonium_lt_1um_AMS_prec	AMS_DC8_YYYYMMDD_R#.ict
Ammonium_lt_1um_AMS_DL	AMS_DC8_YYYYMMDD_R#.ict
Chloride_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
Chloride_lt_1um_AMS_prec	AMS_DC8_YYYYMMDD_R#.ict
Chloride_lt_1um_AMS_DL	AMS_DC8_YYYYMMDD_R#.ict
Seasalt_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
Seasalt_lt_1um_AMS_prec	AMS_DC8_YYYYMMDD_R#.ict
Seasalt_lt_1um_AMS_DL	AMS_DC8_YYYYMMDD_R#.ict
MSA_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
MSA_lt_1um_AMS_prec	AMS_DC8_YYYYMMDD_R#.ict
MSA_lt_1um_AMS_DL	AMS_DC8_YYYYMMDD_R#.ict
StdtoVol_AMS	AMS_DC8_YYYYMMDD_R#.ict
IceFlag_AMS	AMS_DC8_YYYYMMDD_R#.ict
AmmBalance_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
Density_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
OADensity_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
O_C_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
H_C_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
OA_OC_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
OSc_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
f43_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
f44_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
f57_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
f60_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
f82_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
f91_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
fC2H3O_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
fCO2_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
fC4H9_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
fC2H4O2_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
fC5H6O_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
fC7H7_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
OrgNitr_Fraction_lt_1um_AMS	AMS_DC8_YYYYMMDD_R#.ict
CO2_AO2orig	AO2_DC8_YYYYMMDD_R#_a.ict
O2_AO2orig	AO2_DC8_YYYYMMDD_R#_a.ict
APO_AO2orig	AO2_DC8_YYYYMMDD_R#_a.ict
CO2_AO2	AO2_DC8_YYYYMMDD_R#_a.ict
O2_AO2	AO2_DC8_YYYYMMDD_R#_a.ict
APO_AO2	AO2_DC8_YYYYMMDD_R#_a.ict
