species total_nonmissing H1 H2 H3 H4 H5
jd 156551 25974 31585 29429 33887 35676
H.no 156551 25974 31585 29429 33887 35676
Year 156551 25974 31585 29429 33887 35676
flt 156551 25974 31585 29429 33887 35676
DOY 156551 25974 31585 29429 33887 35676
UTC 156551 25974 31585 29429 33887 35676
AKRD 154825 25573 31585 29147 33560 34960
SSRD 156194 25850 31585 29196 33887 35676
ATX 156164 25837 31585 29185 33884 35673
DPXC 135081 18082 23285 24711 33637 35366
PLWCC 154476 24753 31561 29146 33681 35335
GGALT 156551 25974 31585 29429 33887 35676
GGLAT 156551 25974 31585 29429 33887 35676
GGLON 156551 25974 31585 29429 33887 35676
GGSPD 155722 25801 31578 29018 33847 35478
GGTRK 155722 25801 31578 29018 33847 35478
UIC 153981 24836 31561 29138 33556 34890
VIC 153981 24836 31561 29138 33556 34890
WIC 68446 0 0 0 33556 34890
MR 135167 18082 23310 24711 33640 35424
PALT 156076 25837 31561 29186 33883 35609
PALTF 156077 25837 31561 29186 33884 35609
PCAB_SP2 86430 25717 31573 29140 0 0
PITCH 155439 25113 31585 29186 33883 35672
PSXC 156077 25837 31561 29186 33884 35609
QCXC 154925 25837 30566 29030 33883 35609
RHUM 135165 18082 23308 24711 33640 35424
RICE 150869 25243 31552 29100 29601 35373
ROLL 155439 25113 31585 29186 33883 35672
TASX 155799 25560 31561 29186 33883 35609
TCAB 155885 25743 31569 29010 33887 35676
THETA 156076 25837 31561 29185 33884 35609
THETAE 135167 18082 23310 24711 33640 35424
THETAV 135167 18082 23310 24711 33640 35424
TTX 156177 25850 31585 29186 33883 35673
UXC 153981 24836 31561 29138 33556 34890
XMACH2 154925 25837 30566 29030 33883 35609
CONC1DC_LWO 130239 0 31561 29186 33883 35609
CONC2C_LWO 60781 0 31585 29196 0 0
DBAR1DC_LWO 130239 0 31561 29186 33883 35609
CONCD_LWI 155799 25560 31561 29186 33883 35609
DBARD_LWI 130239 0 31561 29186 33883 35609
CONCU_RWI 123787 25230 2494 26701 33838 35524
CONCU100_RWI 123787 25230 2494 26701 33838 35524
CONCU500_RWI 123787 25230 2494 26701 33838 35524
CO2_AO2 125520 21241 25881 24186 27609 26603
O2_AO2 123480 21243 25877 23010 27457 25893
APO_AO2 123433 21232 25869 23002 27444 25886
CH4_QCLS 110784 20189 20336 20571 25260 24428
N2O_QCLS 105734 19075 19337 19714 24217 23391
CO_QCLS 110795 20189 20347 20571 25260 24428
CO2_OMS 112810 16336 20387 22982 26196 26909
CO2_QCLS 100903 14122 20439 19183 24025 23134
CO_RAF 127099 23729 23024 22947 26043 31356
O3_ppb 150023 25710 31339 26845 30893 35236
BC_ng_kg 119922 22725 26696 20784 21081 28636
BC_ng_m3 119176 22603 26411 20445 21081 28636
N2O_UGC 13037 3029 2119 0 3694 4195
N2Oe_UGC 13037 3029 2119 0 3694 4195
SF6_UGC 13055 3045 2091 0 3699 4220
SF6e_UGC 13055 3045 2091 0 3699 4220
CH4_UGC 5090 1304 1542 0 1080 1164
CH4e_UGC 5090 1304 1542 0 1080 1164
H2_UGC 5848 1299 1091 0 1634 1824
H2e_UGC 5848 1299 1091 0 1634 1824
CO_UGC 4108 0 661 0 1621 1826
COe_UGC 4108 0 661 0 1621 1826
H2O_UWV 149454 25626 29763 26809 32630 34626
H2Oe_UWV 149454 25626 29763 26809 32630 34626
O3_UO3 112239 21844 26010 0 32474 31911
O3e_UO3 112239 21844 26010 0 32474 31911
H2Oppmv_vxl 113275 15078 15109 19390 30695 33003
N2O_P 10140 1892 1972 0 3161 3115
N2Oe_P 10140 1892 1972 0 3161 3115
SF6_P 10596 1964 2027 0 3314 3291
SF6e_P 10596 1964 2027 0 3314 3291
CFC_11_P 10847 1959 1948 0 3404 3536
CFC_11e_P 10847 1959 1948 0 3404 3536
CFC_12_P 10841 1972 1917 0 3405 3547
CFC_12e_P 10841 1972 1917 0 3405 3547
CFC_113_P 10738 1981 1821 0 3397 3539
CFC_113e_P 10738 1981 1821 0 3397 3539
Halon_1211_P 10870 1976 1954 0 3379 3561
Halon_1211e_P 10870 1976 1954 0 3379 3561
H2_P 3734 114 1012 0 893 1715
H2e_P 4484 864 1012 0 893 1715
CH4_P 4396 873 995 0 872 1656
CH4e_P 4396 873 995 0 872 1656
CO_P 4908 936 1017 0 1341 1614
COe_P 4908 936 1017 0 1341 1614
PAN_P 10121 1682 1772 0 3360 3307
PANe_P 8169 0 1772 0 3090 3307
UTSTART_CCG 1364 228 209 326 262 339
UTSTOP_CCG 1364 228 209 326 262 339
CO2_CCG 1300 178 197 326 260 339
CH4_CCG 1352 228 197 326 262 339
CO_CCG 1364 228 209 326 262 339
H2_CCG 0 0 0 0 0 0
N2O_CCG 1347 225 197 324 262 339
SF6_CCG 1351 228 197 325 262 339
CO2isoC13_SIL 908 0 170 302 184 252
CO2isoO18_SIL 685 0 170 264 116 135
CH4isoC13_SIL 466 0 0 0 182 284
n.prof 156551 25974 31585 29429 33887 35676
Dist 156551 25974 31585 29429 33887 35676
P.H2O.DP 135081 18082 23285 24711 33637 35366
CO2.X 130016 15339 25404 24543 32334 32396
APO.X 102514 12693 21016 19249 26243 23313
CO.X 132178 24603 25741 23813 27261 30760
