monthly mean of baseline data from 1993/08 to 2022/06; created: 16-Jul-2023
comment: AGAGE GCMD measurements. Output from GCWerks. See Prinn et al., ESSD (2018), https://doi.org/10.5194/essd-10-985-2018
data_owner_email: paul.krummel@csiro.au
data_owner: Paul Krummel
station_long_name: Kennaook/Cape Grim, Tasmania, Australia
inlet_base_elevation_masl: 94.000000
inlet_latitude: -40.683000
inlet_longitude: 144.689000
inlet_comment: multiple inlets have been used at the station, all in close proximity to each other.
data_dir: /agage/capegrim
species: ch3ccl3
calibration_scale: SIO-05
units: ppt
file_created: 2023-04-22 21:34:35
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.

CONTACT POINT: paul.krummel@csiro.au; paul.fraser@csiro.au; raywang@eas.gatech.edu 
 
1st column, time in farction of year
2nd column, year (YYYY)
3rd column, month (1 to 12)
4th column, mean (monthly mean value)
5th column, std. dev. (standard deviation of monthly mean)
6th column, numb (number of measurements for monthly mean)
     time   year  month          mean     std. dev.    numb
 1993.625   1993      8       114.096         1.879     579
 1993.708   1993      9       115.398         2.104     638
 1993.792   1993     10       116.836         1.800     779
 1993.875   1993     11       116.389         2.021     660
 1993.958   1993     12       115.601         1.739     705
 1994.042   1994      1       114.348         1.855     743
 1994.125   1994      2       111.064         2.765     760
 1994.208   1994      3       108.844         1.081     827
 1994.292   1994      4       108.637         0.658     757
 1994.375   1994      5       108.563         0.757     777
 1994.458   1994      6       108.486         0.517     662
 1994.542   1994      7       108.054         0.451     769
 1994.625   1994      8       107.789         0.437     862
 1994.708   1994      9       107.297         0.452     854
 1994.792   1994     10       106.368         0.539     833
 1994.875   1994     11       105.305         0.645     838
 1994.958   1994     12       103.731         0.755     876
 1995.042   1995      1       102.122         0.792     841
 1995.125   1995      2       100.914         0.589     819
 1995.208   1995      3        99.868         0.434     824
 1995.292   1995      4        99.595         0.401     831
 1995.375   1995      5        99.174         0.377     839
 1995.458   1995      6        98.876         0.419     793
 1995.542   1995      7        98.612         0.393     861
 1995.625   1995      8        98.025         0.412     821
 1995.708   1995      9        97.386         0.426     729
 1995.792   1995     10        96.381         0.515     865
 1995.875   1995     11        95.020         0.543     833
 1995.958   1995     12        93.319         0.879     810
 1996.042   1996      1        91.518         0.636     938
 1996.125   1996      2        90.384         0.601     876
 1996.208   1996      3        89.056         0.617     856
 1996.292   1996      4        88.557         0.708     823
 1996.375   1996      5        87.965         1.079     877
 1996.458   1996      6        87.700         0.723     859
 1996.542   1996      7        87.042         0.489     907
 1996.625   1996      8        86.070         0.395     900
 1996.708   1996      9        85.423         0.399     766
 1996.792   1996     10        84.320         0.524     807
 1996.875   1996     11        83.007         0.480     826
 1996.958   1996     12        81.892         0.551     884
 1997.042   1997      1        80.154         0.716     658
 1997.125   1997      2        78.401         0.622     716
 1997.208   1997      3        77.638         0.613     805
 1997.292   1997      4        76.645         0.495     738
 1997.375   1997      5        75.972         0.394     766
 1997.458   1997      6        75.355         0.417     784
 1997.542   1997      7        74.837         0.403     875
 1997.625   1997      8        74.245         0.415     668
 1997.708   1997      9        73.552         0.414     806
 1997.792   1997     10        72.493         0.708     840
 1997.875   1997     11        71.335         0.597     880
 1997.958   1997     12        70.133         0.535     899
 1998.042   1998      1        68.713         0.619     908
 1998.125   1998      2        67.625         0.559     718
 1998.208   1998      3        65.924         0.465     416
 1998.292   1998      4        65.378         0.410     817
 1998.375   1998      5        64.732         0.439     821
 1998.458   1998      6        64.202         0.451     533
 1998.542   1998      7        63.656         0.441     831
 1998.625   1998      8        63.061         0.356     869
 1998.708   1998      9        62.249         0.519     768
