monthly mean of baseline data from 1994/03 to 2022/06; created: 16-Jul-2023
comment: AGAGE GCMD measurements. Output from GCWerks. See Prinn et al. (2000) DOI:10.1029/2000JD900141
data_owner_email: s.odoherty@bristol.ac.uk
data_owner: Simon O'Doherty
station_long_name: Mace Head, Ireland
inlet_base_elevation_masl: 8.4
inlet_latitude: 53.32663
inlet_longitude: -9.90456
inlet_date: 1994-02-17 00:00:00
inlet_comment: main tower
data_dir: /agage/macehead
species: ch3ccl3
calibration_scale: SIO-05
units: ppt
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.

CONTACT POINT: s.odoherty@bristol.ac.uk; dickon.young@bristol.ac.uk; raywang@eas.gatech.edu 
 
1st column, time in farction of year
2nd column, year (YYYY)
3rd column, month (1 to 12)
4th column, mean (monthly mean value)
5th column, std. dev. (standard deviation of monthly mean)
6th column, numb (number of measurements for monthly mean)
     time   year  month          mean     std. dev.    numb
 1994.208   1994      3       130.267         1.843     603
 1994.292   1994      4       130.411         1.794     877
 1994.375   1994      5       130.180         1.173     464
 1994.458   1994      6       127.147         1.216     679
 1994.542   1994      7       124.504         1.359     766
 1994.625   1994      8       121.402         1.217     807
 1994.708   1994      9       119.473         1.604     703
 1994.792   1994     10       120.305         1.345     502
 1994.875   1994     11       119.882         2.132     708
 1994.958   1994     12       118.433         1.780     818
 1995.042   1995      1       117.355         1.705     769
 1995.125   1995      2       116.834         1.546     715
 1995.208   1995      3       116.818         1.533     910
 1995.292   1995      4       116.578         1.540     632
 1995.375   1995      5       115.120         1.460     792
 1995.458   1995      6       112.461         1.700     700
 1995.542   1995      7       109.593         2.053     711
 1995.625   1995      8       106.694         1.568     555
 1995.708   1995      9       106.160         1.299     680
 1995.792   1995     10       105.070         0.942     856
 1995.875   1995     11       105.008         1.016     576
 1995.958   1995     12       104.576         1.250     379
 1996.042   1996      1       103.109         0.760     664
 1996.125   1996      2       102.440         0.876     579
 1996.208   1996      3       101.148         0.869     425
 1996.292   1996      4       100.063         0.972     739
 1996.375   1996      5        99.440         1.269     864
 1996.458   1996      6        96.841         1.078     734
 1996.542   1996      7        93.784         1.666     757
 1996.625   1996      8        92.232         0.984     895
 1996.708   1996      9        90.034         1.174     601
 1996.792   1996     10        88.921         0.882     880
 1996.875   1996     11        88.313         0.749     810
 1996.958   1996     12        87.630         0.802     780
 1997.042   1997      1        86.659         1.325     680
 1997.125   1997      2        85.478         0.816     557
 1997.208   1997      3        84.573         0.918     862
 1997.292   1997      4        83.543         1.169     810
 1997.375   1997      5        82.800         0.960     600
 1997.458   1997      6        81.207         0.988     808
 1997.542   1997      7        78.272         0.951     918
 1997.625   1997      8        76.417         0.972     839
 1997.708   1997      9        75.158         0.799     596
 1997.792   1997     10        74.081         0.693     704
 1997.875   1997     11        73.391         0.639     704
 1997.958   1997     12        72.960         0.554     826
 1998.042   1998      1        72.311         0.666     786
 1998.125   1998      2        71.406         0.510     793
 1998.208   1998      3        70.488         0.715     902
 1998.292   1998      4        69.945         0.614     870
 1998.375   1998      5        68.750         0.785     559
 1998.458   1998      6        67.324         0.983     904
 1998.542   1998      7        65.565         0.707     917
 1998.625   1998      8        63.869         0.648     926
 1998.708   1998      9        62.928         0.650     735
 1998.792   1998     10        62.023         0.736     919
 1998.875   1998     11        61.507         0.600     488
 1998.958   1998     12        60.620         1.060     561
 1999.042   1999      1        60.182         0.761     803
 1999.125   1999      2        59.527         0.678     723
 1999.208   1999      3        59.044         0.674     879
 1999.292   1999      4        58.342         0.623     802
 1999.375   1999      5        57.184         0.763     785
 1999.458   1999      6        56.043         0.640     852
 1999.542   1999      7        54.307         0.539     858
 1999.625   1999      8        53.060         0.521     846
 1999.708   1999      9        52.277         0.510     822
 1999.792   1999     10        51.947         0.567     778
 1999.875   1999     11        51.214         0.522     731
 1999.958   1999     12        50.892         0.564     827
 2000.042   2000      1        50.368         0.529     915
 2000.125   2000      2        49.897         0.506     719
 2000.208   2000      3        49.182         0.610     880
 2000.292   2000      4        49.107         0.442     835
 2000.375   2000      5        48.309         0.493     863
 2000.458   2000      6        47.335         0.660     929
 2000.542   2000      7        45.579         0.917     835
 2000.625   2000      8        44.798         0.511     933
 2000.708   2000      9        43.968         0.500     691
 2000.792   2000     10        43.358         0.591     870
 2000.875   2000     11        42.958         0.534     865
 2000.958   2000     12        42.655         0.517     862
 2001.042   2001      1        42.484         0.642     485
 2001.125   2001      2        41.776         0.535     347
 2001.208   2001      3        41.645         0.541     848
 2001.292   2001      4        40.997         0.514     866
 2001.375   2001      5        40.260         0.578     868
 2001.458   2001      6        39.376         0.546     876
 2001.542   2001      7        38.343         0.637     951
 2001.625   2001      8        37.297         0.526     864
 2001.708   2001      9        36.554         0.547     870
 2001.792   2001     10        36.026         0.495     759
 2001.875   2001     11        35.637         0.819     932
 2001.958   2001     12        35.425         0.848     935
 2002.042   2002      1        35.134         0.869     893
 2002.125   2002      2        34.834         0.953     741
 2002.208   2002      3        34.649         0.651     896
 2002.292   2002      4        34.196         0.527     692
 2002.375   2002      5        33.618         0.515     817
 2002.458   2002      6        32.978         0.563     914
 2002.542   2002      7        32.160         0.587     856
 2002.625   2002      8        31.211         0.532     701
 2002.708   2002      9        30.928         0.448     913
 2002.792   2002     10        30.475         0.487     770
 2002.875   2002     11        29.990         0.485     817
 2002.958   2002     12        29.906         0.459     844
 2003.042   2003      1        29.690         0.482     874
 2003.125   2003      2        29.498         0.508     748
 2003.208   2003      3        29.167         0.456     949
 2003.292   2003      4        28.698         0.454     873
 2003.375   2003      5        28.226         0.521     836
 2003.458   2003      6        27.613         0.414     940
 2003.542   2003      7        26.867         0.425     911
 2003.625   2003      8        26.096         0.467     813
 2003.708   2003      9        25.718         0.397     812
 2003.792   2003     10        25.316         0.398     826
 2003.875   2003     11        25.023         0.453     823
 2003.958   2003     12        24.747         0.395     922
 2004.042   2004      1        24.530         0.435     830
 2004.125   2004      2        24.341         0.407     717
 2004.208   2004      3        24.164         0.458     900
 2004.292   2004      4        23.802         0.434     854
 2004.375   2004      5        23.394         0.436     887
 2004.458   2004      6        22.712         0.421     850
 2004.542   2004      7        22.195         0.421     879
 2004.625   2004      8        21.600         0.400     819
 2004.708   2004      9        21.148         0.476     776
 2004.792   2004     10        20.993         0.418     924
 2004.875   2004     11        20.727         0.476     753
 2004.958   2004     12        20.470         0.414     895
 2005.042   2005      1        20.243         0.474     838
 2005.125   2005      2        20.095         0.347     789
 2005.208   2005      3        19.900         0.371     890
 2005.292   2005      4        19.805         0.356     821
 2005.375   2005      5        19.480         0.391     776
 2005.458   2005      6        19.001         0.323      76
 2005.542   2005      7        18.501         0.344     182
 2005.625   2005      8        18.242         0.417     917
 2005.708   2005      9        17.866         0.398     870
 2005.792   2005     10        17.657         0.437     884
 2005.875   2005     11        17.453         0.380     846
 2005.958   2005     12        17.169         0.374     916
 2006.042   2006      1        17.115         0.365     846
 2006.125   2006      2        16.928         0.321     716
 2006.208   2006      3        16.797         0.380     956
 2006.292   2006      4        16.629         0.360     754
 2006.375   2006      5        16.368         0.365     927
 2006.458   2006      6        16.050         0.347     914
 2006.542   2006      7        15.571         0.357     849
 2006.625   2006      8        15.094         0.330     750
 2006.708   2006      9        14.818         0.356     511
 2006.792   2006     10        14.659         0.280     839
 2006.875   2006     11        14.504         0.308     883
 2006.958   2006     12        14.343         0.407     851
 2007.042   2007      1        14.227         0.463     865
 2007.125   2007      2        14.113         0.414     769
 2007.208   2007      3        14.049         0.443     449
 2007.292   2007      4        13.995         0.389     321
 2007.375   2007      5        13.606         0.359     665
 2007.458   2007      6        13.278         0.361     902
 2007.542   2007      7        12.955         0.334     828
 2007.625   2007      8        12.585         0.331     952
 2007.708   2007      9        12.321         0.295     878
 2007.792   2007     10        12.217         0.318     902
 2007.875   2007     11        12.047         0.372     799
 2007.958   2007     12        12.010         0.457     806
 2008.042   2008      1        11.916         0.466     720
 2008.125   2008      2        11.939         0.437     770
 2008.208   2008      3        11.790         0.449     828
 2008.292   2008      4        11.675         0.381     811
 2008.375   2008      5        11.460         0.377     911
 2008.458   2008      6        11.173         0.388     815
 2008.542   2008      7        10.909         0.372     967
 2008.625   2008      8        10.588         0.374     808
 2008.708   2008      9        10.456         0.336     785
 2008.792   2008     10        10.359         0.437     756
 2008.875   2008     11        10.281         0.401     883
 2008.958   2008     12         9.926         0.572     785
 2009.042   2009      1        10.096         0.389     831
 2009.125   2009      2         9.945         0.335     805
 2009.208   2009      3         9.907         0.356     959
 2009.292   2009      4         9.676         0.539     863
 2009.375   2009      5         9.630         0.458     876
 2009.458   2009      6         9.496         0.261     743
 2009.542   2009      7         9.233         0.204     984
 2009.625   2009      8         9.017         0.214    1021
 2009.708   2009      9         8.853         0.208     917
 2009.792   2009     10         8.723         0.203    1029
 2009.875   2009     11         8.641         0.216     985
 2009.958   2009     12         8.582         0.221     786
 2010.042   2010      1         8.516         0.232     945
 2010.125   2010      2         8.419         0.235     785
 2010.208   2010      3         8.273         0.231    1024
 2010.292   2010      4         8.220         0.244     738
 2010.375   2010      5         8.219         0.283     231
 2010.458   2010      6         7.860         0.248     721
 2010.542   2010      7         7.660         0.261     991
 2010.625   2010      8         7.495         0.206     977
 2010.708   2010      9         7.364         0.217     975
 2010.792   2010     10         7.301         0.241    1019
 2010.875   2010     11         7.308         0.261     886
 2010.958   2010     12         7.277         0.226    1012
 2011.042   2011      1         7.222         0.229    1000
 2011.125   2011      2         7.156         0.231     914
 2011.208   2011      3         7.096         0.218    1010
 2011.292   2011      4         7.034         0.227     991
 2011.375   2011      5         6.933         0.264    1015
 2011.458   2011      6         6.724         0.240     897
 2011.542   2011      7         6.527         0.235     988
 2011.625   2011      8         6.373         0.226     970
 2011.708   2011      9         6.176         0.288     953
 2011.792   2011     10         6.089         0.268    1025
 2011.875   2011     11         6.109         0.275     999
 2011.958   2011     12         5.992         0.302     990
 2012.042   2012      1         5.982         0.279     973
 2012.125   2012      2         5.885         0.236     972
 2012.208   2012      3         5.877         0.231    1032
 2012.292   2012      4         5.829         0.225     963
 2012.375   2012      5         5.723         0.236    1038
 2012.458   2012      6         5.501         0.257     713
 2012.542   2012      7         5.247         0.204     997
 2012.625   2012      8         5.108         0.211     987
 2012.708   2012      9         5.019         0.220     964
 2012.792   2012     10         5.025         0.215     977
 2012.875   2012     11         4.986         0.218     954
 2012.958   2012     12         4.974         0.232    1014
 2013.042   2013      1         4.966         0.221     940
 2013.125   2013      2         4.932         0.228     846
 2013.208   2013      3         4.942         0.222    1018
 2013.292   2013      4         4.836         0.233     968
 2013.375   2013      5         4.734         0.229    1003
