monthly mean of baseline data from 1996/06 to 2022/06; created: 16-Jul-2023
comment: AGAGE GCMD measurements. Output from GCWerks. See Prinn et al. (2000) DOI:10.1029/2000JD900141
data_owner_email: dickon.young@bristol.ac.uk
data_owner: Dickon Young
station_long_name: Ragged Point, Barbados
inlet_base_elevation_masl: 45.0
inlet_latitude: 13.16512
inlet_longitude: -59.43208
inlet_date: 1996-06-07 00:00:00
inlet_comment: main tower
data_dir: /agage/barbados
species: ch3ccl3
calibration_scale: SIO-05
units: ppt
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.

CONTACT POINT: s.odoherty@bristol.ac.uk; dickon.young@bristol.ac.uk; raywang@eas.gatech.edu 
 
1st column, time in farction of year
2nd column, year (YYYY)
3rd column, month (1 to 12)
4th column, mean (monthly mean value)
5th column, std. dev. (standard deviation of monthly mean)
6th column, numb (number of measurements for monthly mean)
     time   year  month          mean     std. dev.    numb
 1996.458   1996      6        90.660         1.177     681
 1996.542   1996      7        89.285         0.872     645
 1996.625   1996      8        86.826         1.363     302
 1996.708   1996      9        85.158         0.868     886
 1996.792   1996     10        83.462         0.850     586
 1996.875   1996     11        83.351         0.903     935
 1996.958   1996     12        83.106         1.339     864
 1997.042   1997      1        83.264         0.777     837
 1997.125   1997      2        82.559         1.061     859
 1997.208   1997      3        81.108         0.567     927
 1997.292   1997      4        79.645         1.038     785
 1997.375   1997      5        78.598         0.743     911
 1997.458   1997      6        77.152         0.711     899
 1997.542   1997      7        75.572         0.788     960
 1997.625   1997      8        73.586         0.639     943
 1997.708   1997      9        71.877         0.583     913
 1997.792   1997     10        70.452         0.516     904
 1997.875   1997     11        70.834         0.737     866
 1997.958   1997     12        70.423         0.384     953
 1998.042   1998      1        69.907         0.673     961
 1998.125   1998      2        68.519         0.562     730
 1998.208   1998      3        68.076         0.504     760
 1998.292   1998      4        66.768         0.524     926
 1998.375   1998      5        65.374         0.478     957
 1998.458   1998      6        64.248         0.507     912
 1998.542   1998      7        63.265         0.473     965
 1998.625   1998      8        61.814         0.481     783
 1998.708   1998      9        60.428         0.549     909
 1998.792   1998     10        59.552         0.475     849
 1998.875   1998     11        59.055         0.444     900
 1998.958   1998     12        58.925         0.527     963
 1999.042   1999      1        58.844         0.382     938
 1999.125   1999      2        58.028         0.568     808
 1999.208   1999      3        56.935         0.414     916
 1999.292   1999      4        55.672         0.462     847
 1999.375   1999      5        54.631         0.423     838
 1999.458   1999      6        54.314         0.338     469
 1999.542   1999      7        52.731         0.524     946
 1999.625   1999      8        51.546         0.360     945
 1999.708   1999      9        50.741         0.381     901
 1999.792   1999     10        50.012         0.386     960
 1999.875   1999     11        49.389         0.474     908
 1999.958   1999     12        49.449         0.461     956
 2000.042   2000      1        49.316         0.346     941
 2000.125   2000      2        48.640         0.389     842
 2000.208   2000      3        47.909         0.508     954
 2000.292   2000      4        47.286         0.399     899
 2000.375   2000      5        46.050         0.442     949
 2000.458   2000      6        45.222         0.359     926
 2000.542   2000      7        44.113         0.366     879
 2000.625   2000      8        43.286         0.436     928
 2000.708   2000      9        42.593         0.568     815
 2000.792   2000     10        41.458         0.460     594
 2000.875   2000     11        41.395         0.486     886
 2000.958   2000     12        41.181         0.484     936
 2001.042   2001      1        40.721         0.499     812
 2001.125   2001      2        40.545         0.515     834
 2001.208   2001      3        39.679         0.532     875
 2001.292   2001      4        39.276         0.480     906
 2001.375   2001      5        38.386         0.558     931
 2001.458   2001      6        37.662         0.394     939
 2001.542   2001      7        36.847         0.515     951
 2001.625   2001      8        35.935         0.406     887
 2001.708   2001      9        35.290         0.357     901
 2001.792   2001     10        34.776         0.379     951
 2001.875   2001     11        34.355         0.410     932
 2001.958   2001     12        34.287         0.379     811
 2002.042   2002      1        34.184         0.383     971
 2002.125   2002      2        33.670         0.314     863
 2002.208   2002      3        33.245         0.420     952
 2002.292   2002      4        32.780         0.426     924
 2002.375   2002      5        31.939         0.386     481
 2002.458   2002      6        31.330         0.344     876
 2002.542   2002      7        30.588         0.370     953
 2002.625   2002      8        29.797         0.348     965
 2002.708   2002      9        29.321         0.294     910
 2002.792   2002     10        28.791         0.285     969
 2002.875   2002     11        28.707         0.251     920
 2002.958   2002     12        28.489         0.349     941
 2003.042   2003      1        28.341         0.289     981
 2003.125   2003      2        28.105         0.353     850
 2003.208   2003      3        27.590         0.306     939
 2003.292   2003      4        27.093         0.375     605
 2003.375   2003      5        26.672         0.358     969
 2003.458   2003      6        26.241         0.328     953
 2003.542   2003      7        25.663         0.333     980
 2003.625   2003      8        24.907         0.315     963
 2003.708   2003      9        24.458         0.320     912
 2003.792   2003     10        24.222         0.291     973
 2003.875   2003     11        23.844         0.350     912
 2003.958   2003     12        23.861         0.337     928
 2004.042   2004      1        23.574         0.336     739
 2004.125   2004      2        23.369         0.325     523
 2004.208   2004      3        22.778         0.363     396
 2004.292   2004      4        22.544         0.345     938
 2004.375   2004      5        22.238         0.409     925
 2004.458   2004      6        21.623         0.322     934
 2004.542   2004      7        21.262         0.302     941
 2004.625   2004      8        20.743         0.279     892
 2004.708   2004      9        20.425         0.269     832
 2004.792   2004     10        20.072         0.340     908
 2004.875   2004     11        19.865         0.312     932
 2004.958   2004     12        19.887         0.293     978
 2005.042   2005      1        19.762         0.288     987
 2005.125   2005      2        19.578         0.276     840
 2005.208   2005      3        19.148         0.304     807
 2005.292   2005      4        18.727         0.264     362
 2005.375   2005      5        18.528         0.345     362
 2005.458   2005      6        18.029         0.333     723
 2005.542   2005      7        17.772         0.430     874
 2005.625   2005      8        17.311         0.378     988
 2005.708   2005      9        17.030         0.327     945
 2005.792   2005     10        16.821         0.316     925
 2005.875   2005     11        16.657         0.466     905
 2005.958   2005     12        16.686         0.490     882
 2006.042   2006      1        16.440         0.382     973
 2006.125   2006      2        16.172         0.411     573
 2006.208   2006      3        15.827         0.678     894
 2006.292   2006      4        15.780         0.680     439
 2006.375   2006      5        15.459         0.364     612
 2006.458   2006      6        15.228         0.179     867
 2006.542   2006      7        14.921         0.140     956
 2006.625   2006      8        14.656         0.123     168
 2006.708   2006      9        14.066         0.148     806
 2006.792   2006     10        13.873         0.163     883
 2006.875   2006     11        13.815         0.193     799
 2006.958   2006     12        13.772         0.149     357
 2007.042   2007      1        13.608         0.170     911
 2007.125   2007      2        13.488         0.209     741
 2007.208   2007      3        13.338         0.156     839
 2007.292   2007      4        13.086         0.176     887
 2007.375   2007      5        12.929         0.173     876
 2007.458   2007      6        12.598         0.158     653
 2007.542   2007      7        12.340         0.200     870
 2007.625   2007      8        12.104         0.148     350
 2007.708   2007      9        11.843         0.156     856
 2007.792   2007     10        11.635         0.146     971
 2007.875   2007     11        11.565         0.157     931
 2007.958   2007     12        11.549         0.163     937
 2008.042   2008      1        11.482         0.143     902
 2008.125   2008      2        11.396         0.159     879
 2008.208   2008      3        11.252         0.179     599
 2008.292   2008      4        10.799         0.121      30
 2008.375   2008      5        10.755         0.159     933
 2008.458   2008      6        10.654         0.184     534
 2008.542   2008      7        10.455         0.176     937
 2008.625   2008      8        10.230         0.160     743
 2008.708   2008      9         9.977         0.155     828
 2008.792   2008     10         9.816         0.163     953
 2008.875   2008     11         9.835         0.178     847
 2008.958   2008     12         9.773         0.177     927
 2009.042   2009      1         9.657         0.161     922
 2009.125   2009      2         9.539         0.163     795
 2009.208   2009      3         9.428         0.176     933
 2009.292   2009      4         9.247         0.181     872
 2009.375   2009      5         9.035         0.170     967
