monthly mean of baseline data from 1996/08 to 2019/11; created: 16-Jul-2023
comment: MD measurements. Output from GCWerks. See Prinn et al. (2000).
data_owner_email: rfweiss@ucsd.edu, jmuhle@ucsd.edu
data_owner: Ray F. Weiss, Jens Muhle
station_long_name: Cape Matatula, American Samoa
inlet_base_elevation_masl: 42.00
inlet_latitude: -14.2474
inlet_longitude: -170.5644
inlet_comment: Bluesky tower. Not sure about the previous tower
data_dir: /agage/samoa
species: ch3ccl3
calibration_scale: SIO-05
units: ppt
file_created: 2023-04-22 21:28:47
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.

CONTACT POINT: rfweiss@ucsd.edu; charth@ucsd.edu; raywang@eas.gatech.edu 
 
1st column, time in farction of year
2nd column, year (YYYY)
3rd column, month (1 to 12)
4th column, mean (monthly mean value)
5th column, std. dev. (standard deviation of monthly mean)
6th column, numb (number of measurements for monthly mean)
     time   year  month          mean     std. dev.    numb
 1996.625   1996      8        84.649         0.470     461
 1996.708   1996      9        84.037         0.565     789
 1996.792   1996     10        82.365         0.614     719
 1996.875   1996     11        80.563         0.443     557
 1996.958   1996     12        79.666         0.634     909
 1997.042   1997      1        78.881         0.723     953
 1997.125   1997      2        77.491         0.566     855
 1997.208   1997      3        77.092         0.926     951
 1997.292   1997      4        75.551         0.420     926
 1997.375   1997      5        74.973         0.364     855
 1997.458   1997      6        75.190         0.359     867
 1997.542   1997      7        74.262         0.387     960
 1997.625   1997      8        73.729         0.412     941
 1997.708   1997      9        72.436         0.535     924
 1997.792   1997     10        71.095         0.655     940
 1997.875   1997     11        70.000         0.470     900
 1997.958   1997     12        68.548         0.497     969
 1998.042   1998      1        67.489         0.987     848
 1998.125   1998      2        65.961         0.618     865
 1998.208   1998      3        65.178         0.539     812
 1998.292   1998      4        64.622         0.343     925
 1998.375   1998      5        64.092         0.361     928
 1998.458   1998      6        63.512         0.437     788
 1998.542   1998      7        63.071         0.482     971
 1998.625   1998      8        62.129         0.455     930
 1998.708   1998      9        60.987         0.490     916
 1998.792   1998     10        59.962         0.703     816
 1998.875   1998     11        58.403         0.541     879
 1998.958   1998     12        57.697         0.602     976
 1999.042   1999      1        56.812         0.404     951
 1999.125   1999      2        56.108         0.309     574
 1999.208   1999      3        54.812         0.345     871
 1999.292   1999      4        54.171         0.319     945
 1999.375   1999      5        53.720         0.346     964
 1999.458   1999      6        53.024         0.321     950
 1999.542   1999      7        52.407         0.332     889
 1999.625   1999      8        51.680         0.367     963
 1999.708   1999      9        51.194         0.498     929
 1999.792   1999     10        50.123         0.513     958
 1999.875   1999     11        49.018         0.361     820
 1999.958   1999     12        48.047         0.329     820
 2000.042   2000      1        47.381         0.337     813
 2000.125   2000      2        46.644         0.337     867
 2000.208   2000      3        46.061         0.408     981
 2000.292   2000      4        45.399         0.342     923
 2000.375   2000      5        45.146         0.318     245
 2000.458   2000      6        44.492         0.323     124
 2000.542   2000      7        43.937         0.349     647
 2000.625   2000      8        43.291         0.399     951
 2000.708   2000      9        42.589         0.527     930
 2000.792   2000     10        41.536         0.590     826
 2000.875   2000     11        41.096         0.422     820
 2000.958   2000     12        40.325         0.323     960
 2001.042   2001      1        39.715         0.335     775
 2001.125   2001      2        39.096         0.354     880
 2001.208   2001      3        38.543         0.459     970
 2001.292   2001      4        38.020         0.334     933
 2001.375   2001      5        37.631         0.333     965
 2001.458   2001      6        37.027         0.327     950
 2001.542   2001      7        36.663         0.358     971
 2001.625   2001      8        36.209         0.344     828
 2001.708   2001      9        35.946         0.430     658
 2001.792   2001     10        35.191         0.628     932
 2001.875   2001     11        34.319         0.541     922
 2001.958   2001     12        33.696         0.494     964
 2002.042   2002      1        32.960         0.362     986
 2002.125   2002      2        32.496         0.320     889
 2002.208   2002      3        32.059         0.342     969
 2002.292   2002      4        31.507         0.300     953
 2002.375   2002      5        31.228         0.303     949
 2002.458   2002      6        30.847         0.305     931
 2002.542   2002      7        30.510         0.295     427
 2002.625   2002      8        29.886         0.456     452
 2002.708   2002      9        29.503         0.388     937
 2002.792   2002     10        28.966         0.365     974
 2002.875   2002     11        28.363         0.426     917
 2002.958   2002     12        27.999         0.402     970
 2003.042   2003      1        27.435         0.303     971
 2003.125   2003      2        26.972         0.366     476
 2003.208   2003      3        26.682         0.296     952
 2003.292   2003      4        26.199         0.347     905
 2003.375   2003      5        26.016         0.345     952
