monthly mean of baseline data from 1995/10 to 2022/06; created: 16-Jul-2023
comment: MD measurements. Output from GCWerks. See Prinn et al. (2000).
data_owner_email: rfweiss@ucsd.edu, jmuhle@ucsd.edu
data_owner: Ray F. Weiss, Jens Muhle
station_long_name: Trinidad Head, California
inlet_base_elevation_masl: 107.000000
inlet_latitude: 41.0541
inlet_longitude: -124.151
data_dir: /agage/trinidadhead
species: ch3ccl3
calibration_scale: SIO-05
units: ppt
file_created: 2023-04-22 21:31:11
filled (flagged) data value: -99.900
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.

CONTACT POINT: rfweiss@ucsd.edu; charth@ucsd.edu; raywang@eas.gatech.edu 
 
1st column, time in farction of year
2nd column, year (YYYY)
3rd column, month (1 to 12)
4th column, mean (monthly mean value)
5th column, std. dev. (standard deviation of monthly mean)
6th column, numb (number of measurements for monthly mean)
     time   year  month          mean     std. dev.    numb
 1995.792   1995     10       104.873         1.100     752
 1995.875   1995     11       103.803         1.099     677
 1995.958   1995     12       102.619         1.273     775
 1996.042   1996      1       101.961         1.139     883
 1996.125   1996      2       101.658         0.984     721
 1996.208   1996      3       100.843         1.308     421
 1996.292   1996      4        99.719         0.934     578
 1996.375   1996      5        98.369         1.087     862
 1996.458   1996      6        96.763         1.114     893
 1996.542   1996      7        93.323         1.703     898
 1996.625   1996      8        90.816         1.236     875
 1996.708   1996      9        89.821         0.785     803
 1996.792   1996     10        88.627         0.843     890
 1996.875   1996     11        87.973         0.808     777
 1996.958   1996     12        86.729         0.820     908
 1997.042   1997      1        85.863         0.660     935
 1997.125   1997      2        85.143         0.616     830
 1997.208   1997      3        84.668         0.796     797
 1997.292   1997      4        83.417         1.046     939
 1997.375   1997      5        82.035         1.604     943
 1997.458   1997      6        80.110         0.653     611
 1997.542   1997      7        78.079         1.128     968
 1997.625   1997      8        75.868         0.888     954
 1997.708   1997      9        74.929         0.593     838
 1997.792   1997     10        74.116         0.581     824
 1997.875   1997     11        73.162         0.575     777
 1997.958   1997     12        72.775         0.450     738
 1998.042   1998      1        72.212         0.616     886
 1998.125   1998      2        71.717         0.472     766
 1998.208   1998      3        70.686         0.590     914
 1998.292   1998      4        70.047         0.471     802
 1998.375   1998      5        68.771         0.562     896
 1998.458   1998      6        66.969         0.685     882
 1998.542   1998      7        64.286         0.883     941
 1998.625   1998      8        63.234         0.627     916
 1998.708   1998      9        62.378         0.454     930
 1998.792   1998     10        61.783         0.375     885
 1998.875   1998     11        61.239         0.414     805
 1998.958   1998     12        60.671         0.463     941
 1999.042   1999      1        60.051         0.378     915
 1999.125   1999      2        59.661         0.401     884
 1999.208   1999      3        59.106         0.330     872
 1999.292   1999      4        58.473         0.496     903
 1999.375   1999      5        57.343         0.503     950
 1999.458   1999      6        55.830         0.673     900
 1999.542   1999      7        54.003         0.800     956
 1999.625   1999      8        52.419         0.482     947
 1999.708   1999      9        52.076         0.443     875
 1999.792   1999     10        51.262         0.463     923
 1999.875   1999     11        50.751         0.389     897
 1999.958   1999     12        50.277         0.471     929
 2000.042   2000      1        49.720         0.414     943
 2000.125   2000      2        49.379         0.393     829
 2000.208   2000      3        49.337         0.343     923
 2000.292   2000      4        48.596         0.431     901
 2000.375   2000      5        47.795         0.597     961
 2000.458   2000      6        46.835         0.709     907
 2000.542   2000      7        45.219         0.669     949
 2000.625   2000      8        44.356         0.543     964
 2000.708   2000      9        43.409         0.452     916
 2000.792   2000     10        42.979         0.331     936
 2000.875   2000     11        42.750         0.253     682
 2000.958   2000     12        42.474         0.306     873
 2001.042   2001      1        42.231         0.306     933
 2001.125   2001      2        41.846         0.301     882
 2001.208   2001      3        41.301         0.453     965
 2001.292   2001      4        40.915         0.445     930
 2001.375   2001      5        40.363         0.449     971
 2001.458   2001      6        39.340         0.511     957
 2001.542   2001      7        38.215         0.517     944
 2001.625   2001      8        36.985         0.462     891
 2001.708   2001      9        36.472         0.337     896
 2001.792   2001     10        36.060         0.374     937
 2001.875   2001     11        35.574         0.324     930
 2001.958   2001     12        35.286         0.288     876
 2002.042   2002      1        34.968         0.317     960
 2002.125   2002      2        34.565         0.317     813
 2002.208   2002      3        34.308         0.316     944
 2002.292   2002      4        33.767         0.359     922
 2002.375   2002      5        33.280         0.479     924
 2002.458   2002      6        32.534         0.417     923
 2002.542   2002      7        31.496         0.641     966
 2002.625   2002      8        30.836         0.510     979
 2002.708   2002      9        30.413         0.363     871
 2002.792   2002     10        30.129         0.309     954
 2002.875   2002     11        29.727         0.291     912
 2002.958   2002     12        29.503         0.490     944
 2003.042   2003      1        29.159         0.428     954
 2003.125   2003      2        28.957         0.388     817
 2003.208   2003      3        28.479         0.320     946
 2003.292   2003      4        28.312         0.286     934
 2003.375   2003      5        27.980         0.406     947
 2003.458   2003      6        27.354         0.426     903
 2003.542   2003      7        26.594         0.406     961
 2003.625   2003      8        25.803         0.368     869
 2003.708   2003      9        25.434         0.361     893
 2003.792   2003     10        25.120         0.331     945
 2003.875   2003     11        24.929         0.280     860
 2003.958   2003     12        24.479         0.227     958
 2004.042   2004      1        24.204         0.240     942
 2004.125   2004      2        24.109         0.231     873
 2004.208   2004      3        23.892         0.250     954
 2004.292   2004      4        23.796         0.235     935
 2004.375   2004      5        23.270         0.348     807
 2004.458   2004      6        22.902         0.333     916
 2004.542   2004      7        22.300         0.319     909
 2004.625   2004      8        21.551         0.309     117
 2004.708   2004      9        21.298         0.297     917
 2004.792   2004     10        20.984         0.268     938
 2004.875   2004     11        20.743         0.262     903
 2004.958   2004     12        20.526         0.237     953
 2005.042   2005      1        20.400         0.291     767
 2005.125   2005      2        20.198         0.202     793
 2005.208   2005      3        20.081         0.210     672
 2005.292   2005      4        19.964         0.231     818
 2005.375   2005      5        19.600         0.220     936
 2005.458   2005      6        19.284         0.261     825
 2005.542   2005      7        18.594         0.269     915
 2005.625   2005      8        18.132         0.320     885
 2005.708   2005      9        17.867         0.224     791
 2005.792   2005     10        17.576         0.227     832
 2005.875   2005     11        17.286         0.218     519
 2005.958   2005     12        17.171         0.206     723
 2006.042   2006      1        17.010         0.211     818
 2006.125   2006      2        16.889         0.219     789
 2006.208   2006      3        16.821         0.197     879
 2006.292   2006      4        16.670         0.181     896
 2006.375   2006      5        16.470         0.284     718
 2006.458   2006      6        16.028         0.249     820
 2006.542   2006      7        15.317         0.291     895
 2006.625   2006      8        14.988         0.230     942
 2006.708   2006      9        14.780         0.207     907
 2006.792   2006     10        14.564         0.196     937
 2006.875   2006     11        14.340         0.188     931
 2006.958   2006     12        14.237         0.182     935
 2007.042   2007      1        14.149         0.173     961
 2007.125   2007      2        14.074         0.182     786
 2007.208   2007      3        13.973         0.208     838
 2007.292   2007      4        13.922         0.177     753
 2007.375   2007      5        13.759         0.203     881
 2007.458   2007      6        13.434         0.266     921
 2007.542   2007      7        12.968         0.272     901
 2007.625   2007      8        12.687         0.202     375
 2007.708   2007      9        12.520         0.180     735
 2007.792   2007     10        12.278         0.183     892
 2007.875   2007     11        12.087         0.173     930
 2007.958   2007     12        11.994         0.156     914
 2008.042   2008      1        11.928         0.151     881
 2008.125   2008      2        11.789         0.222     843
 2008.208   2008      3        11.677         0.266     858
 2008.292   2008      4        11.598         0.261     823
 2008.375   2008      5        11.404         0.291     952
 2008.458   2008      6        11.265         0.247     896
 2008.542   2008      7        11.007         0.224     958
 2008.625   2008      8        10.662         0.226     930
 2008.708   2008      9        10.559         0.226     936
 2008.792   2008     10        10.357         0.238     795
 2008.875   2008     11        10.203         0.215     888
 2008.958   2008     12        10.166         0.197     974
 2009.042   2009      1         9.963         0.287     802
 2009.125   2009      2         9.942         0.226     752
 2009.208   2009      3         9.827         0.210     769
 2009.292   2009      4         9.775         0.196     933
 2009.375   2009      5         9.601         0.227     912
 2009.458   2009      6         9.379         0.172     899
 2009.542   2009      7         9.171         0.190    1039
 2009.625   2009      8         8.905         0.161     927
 2009.708   2009      9         8.757         0.145     981
 2009.792   2009     10         8.587         0.169     621
 2009.875   2009     11         8.519         0.145     728
 2009.958   2009     12         8.442         0.151     968
 2010.042   2010      1         8.361         0.154    1007
 2010.125   2010      2         8.279         0.152     745
 2010.208   2010      3         8.252         0.147    1046
 2010.292   2010      4         8.154         0.162     932
 2010.375   2010      5         8.041         0.161    1045
 2010.458   2010      6         7.852         0.162    1012
 2010.542   2010      7         7.733         0.186    1042
 2010.625   2010      8         7.538         0.165     736
 2010.708   2010      9         7.413         0.178     968
 2010.792   2010     10         7.371         0.172    1019
 2010.875   2010     11         7.243         0.152    1002
 2010.958   2010     12         7.148         0.148     905
 2011.042   2011      1         7.076         0.160    1013
 2011.125   2011      2         7.040         0.159     944
 2011.208   2011      3         6.970         0.149     438
 2011.292   2011      4         6.844         0.145     907
 2011.375   2011      5         6.783         0.147     921
 2011.458   2011      6         6.585         0.159     861
 2011.542   2011      7         6.441         0.191     875
 2011.625   2011      8         6.361         0.166    1037
 2011.708   2011      9         6.307         0.167     789
 2011.792   2011     10         6.168         0.170     968
 2011.875   2011     11         6.096         0.185     456
 2011.958   2011     12         6.005         0.165    1011
 2012.042   2012      1         5.960         0.154     943
 2012.125   2012      2         5.925         0.166     821
 2012.208   2012      3         5.856         0.167    1010
 2012.292   2012      4         5.769         0.155     964
 2012.375   2012      5         5.750         0.155      68
 2012.458   2012      6           NaN           NaN       0
 2012.542   2012      7           NaN           NaN       0
 2012.625   2012      8           NaN           NaN       0
 2012.708   2012      9           NaN           NaN       0
 2012.792   2012     10           NaN           NaN       0
 2012.875   2012     11           NaN           NaN       0
 2012.958   2012     12           NaN           NaN       0
 2013.042   2013      1           NaN           NaN       0
 2013.125   2013      2           NaN           NaN       0
 2013.208   2013      3           NaN           NaN       0
 2013.292   2013      4           NaN           NaN       0
 2013.375   2013      5           NaN           NaN       0
 2013.458   2013      6           NaN           NaN       0
 2013.542   2013      7           NaN           NaN       0
 2013.625   2013      8           NaN           NaN       0
 2013.708   2013      9           NaN           NaN       0
 2013.792   2013     10           NaN           NaN       0
 2013.875   2013     11           NaN           NaN       0
 2013.958   2013     12           NaN           NaN       0
 2014.042   2014      1           NaN           NaN       0
 2014.125   2014      2           NaN           NaN       0
 2014.208   2014      3           NaN           NaN       0
 2014.292   2014      4           NaN           NaN       0
 2014.375   2014      5           NaN           NaN       0
 2014.458   2014      6           NaN           NaN       0
 2014.542   2014      7           NaN           NaN       0
 2014.625   2014      8           NaN           NaN       0
 2014.708   2014      9           NaN           NaN       0
 2014.792   2014     10           NaN           NaN       0
 2014.875   2014     11           NaN           NaN       0
 2014.958   2014     12           NaN           NaN       0
 2015.042   2015      1           NaN           NaN       0
 2015.125   2015      2           NaN           NaN       0
 2015.208   2015      3           NaN           NaN       0
 2015.292   2015      4           NaN           NaN       0
 2015.375   2015      5           NaN           NaN       0
 2015.458   2015      6           NaN           NaN       0
 2015.542   2015      7           NaN           NaN       0
 2015.625   2015      8           NaN           NaN       0
